id,title,year,country,runtime,language,certificate,budget,revenue,avg_rating,vote_count,target,cast_count
48,A Streetcar Named Desire,1951,USA,125,English,PG,0.0,1800000.0,8.0,78454,1,3.0
49,Quo Vadis,1951,USA,171,English,Passed,0.0,7623000.0,7.19999981,9808,1,3.0
50,Show Boat,1951,USA,108,English,Approved,0.0,2295429.0,7.0,3538,1,3.0
51,Deadline - U.S.A.,1952,USA,87,English,,0.0,0.0,7.19999981,1756,1,3.0
52,High Noon,1952,USA,85,English,PG,0.0,750000.0,8.10000038,80193,1,3.0
53,Singin' in the Rain,1952,USA,103,English,Approved,0.0,2540800.0,8.30000019,150020,1,3.0
54,The Greatest Show on Earth,1952,USA,152,English,Not Rated,36000000.0,4000000.0,6.69999981,9456,0,3.0
55,From Here to Eternity,1953,USA,118,English,Not Rated,0.0,1650000.0,7.80000019,33987,1,3.0
56,Niagara,1953,USA,92,English,Approved,0.0,1250000.0,7.0999999,11047,1,3.0
57,"The Beast from 20,000 Fathoms",1953,USA,80,English,Approved,5000000.0,210000.0,6.69999981,4812,0,3.0
58,The Robe,1953,USA,135,English,Unrated,36000000.0,5000000.0,6.80000019,6359,0,3.0
59,"20,000 Leagues Under the Sea",1954,USA,127,English,Approved,0.0,5000000.0,7.19999981,22123,1,3.0
60,"20,000 Leagues Under the Sea",1954,USA,127,English,Approved,0.0,5000000.0,7.19999981,22124,1,3.0
61,On the Waterfront,1954,USA,108,English,Not Rated,9600000.0,910000.0,8.19999981,100890,1,3.0
62,Seven Samurai,1954,Japan,202,Japanese,Unrated,269061.0,2000000.0,8.69999981,229012,1,3.0
63,The Egyptian,1954,USA,139,English,Approved,0.0,5000000.0,6.5999999,2498,0,3.0
64,Ordet,1955,Denmark,126,Danish,Not Rated,0.0,0.0,8.10000038,9903,1,3.0
65,The Trouble with Harry,1955,USA,99,English,Approved,0.0,1200000.0,7.19999981,24891,1,3.0
66,Love Me Tender,1956,USA,89,English,,0.0,1000000.0,6.19999981,2636,0,3.0
67,Moby Dick,1956,USA,115,English,Unrated,0.0,4500000.0,7.4000001,13474,1,3.0
68,Trapeze,1956,USA,105,English,Approved,0.0,4000000.0,6.80000019,3102,0,3.0
69,12 Angry Men,1957,USA,96,English,Not Rated,0.0,350000.0,8.89999962,447785,1,3.0
70,The Bridge on the River Kwai,1957,UK,161,English,PG,27200000.0,3000000.0,8.19999981,149444,1,3.0
71,Cat on a Hot Tin Roof,1958,USA,108,English,Approved,0.0,3000000.0,8.10000038,33741,1,3.0
72,Solomon and Sheba,1959,USA,141,English,,0.0,5000000.0,6.19999981,2017,0,3.0
73,Some Like It Hot,1959,USA,120,English,Not Rated,25000000.0,2883848.0,8.30000019,175196,1,3.0
74,The Nun's Story,1959,USA,149,English,Not Rated,0.0,3500000.0,7.5999999,7071,1,3.0
75,Elmer Gantry,1960,USA,146,English,Approved,0.0,3000000.0,7.9000001,7998,1,3.0
76,Psycho,1960,USA,108,English,R,32000000.0,806947.0,8.5,422432,1,3.0
77,The Apartment,1960,USA,125,English,Approved,0.0,3000000.0,8.30000019,109335,1,3.0
78,Judgment at Nuremberg,1961,USA,186,English,Not Rated,0.0,3000000.0,8.30000019,44457,1,3.0
79,Pocketful of Miracles,1961,USA,136,English,Approved,0.0,2900000.0,7.30000019,4313,1,3.0
80,The Hustler,1961,USA,134,English,Unrated,0.0,2000000.0,8.0,62860,1,3.0
81,The Misfits,1961,USA,120,English,Approved,0.0,4000000.0,7.4000001,12981,1,3.0
82,West Side Story,1961,USA,152,English,Unrated,43650000.0,6000000.0,7.5999999,71919,1,3.0
83,Dr. No,1962,UK,110,English,Approved,16067035.0,1100000.0,7.30000019,116642,1,3.0
84,Lawrence of Arabia,1962,UK,227,English,PG,6000000.0,15000000.0,8.39999962,192775,1,3.0
85,Lolita,1962,UK,152,English,Not Rated,0.0,2000000.0,7.69999981,67822,1,3.0
86,Lolita,1962,UK,152,English,Not Rated,0.0,2000000.0,7.69999981,67825,1,3.0
87,The Brain That Wouldn't Die,1962,USA,70,English,Approved,0.0,62000.0,4.0999999,4752,0,3.0
88,The Longest Day,1962,USA,178,English,G,0.0,10000000.0,7.80000019,43270,1,3.0
89,The Man Who Shot Liberty Valance,1962,USA,113,English,Approved,0.0,3200000.0,8.10000038,53741,1,3.0
90,To Kill a Mockingbird,1962,USA,129,English,Not Rated,0.0,2000000.0,8.39999962,215086,1,3.0
91,55 Days at Peking,1963,USA,154,English,Unrated,0.0,9000000.0,6.80000019,4550,0,3.0
92,Cleopatra,1963,UK,251,English,Approved,57750000.0,31115000.0,7.0,21554,1,3.0
93,Donovan's Reef,1963,USA,109,English,Not Rated,0.0,2686585.0,6.9000001,5786,0,3.0
94,From Russia with Love,1963,UK,115,English,Approved,24800000.0,2000000.0,7.5,89403,1,3.0
95,Hud,1963,USA,112,English,Approved,0.0,2500000.0,7.9000001,15277,1,3.0
96,"It's a Mad, Mad, Mad, Mad World",1963,USA,197,English,Approved,46300000.0,9400000.0,7.5999999,29323,1,3.0
97,The Great Escape,1963,USA,172,English,Approved,0.0,4000000.0,8.30000019,165638,1,3.0
98,Tom Jones,1963,UK,121,English,Unrated,0.0,1000000.0,6.80000019,8508,0,3.0
99,A Fistful of Dollars,1964,Italy,99,Italian,R,3500000.0,200000.0,8.0,147566,1,3.0
100,A Hard Day's Night,1964,UK,87,English,Approved,515005.0,560000.0,7.69999981,31429,1,3.0
101,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,USA,95,English,PG,0.0,1800000.0,8.5,342585,1,3.0
102,Goldfinger,1964,UK,110,English,Approved,51100000.0,3000000.0,7.80000019,139432,1,3.0
103,Mary Poppins,1964,USA,139,English,Approved,102300000.0,6000000.0,7.80000019,107408,1,3.0
104,My Fair Lady,1964,USA,170,English,Approved,72000000.0,17000000.0,7.9000001,66959,1,3.0
105,Nothing But a Man,1964,USA,95,English,Not Rated,12438.0,160000.0,8.10000038,891,1,3.0
106,The Fall of the Roman Empire,1964,USA,172,English,Approved,0.0,19000000.0,6.69999981,6156,0,3.0
107,The Train,1964,France,133,English,Unrated,0.0,6700000.0,7.9000001,10119,1,3.0
108,Une Femme Mari̩e,1964,France,94,French,,0.0,120000.0,7.4000001,1962,1,3.0
109,Doctor Zhivago,1965,USA,200,English,PG-13,111722000.0,11000000.0,8.0,55816,1,3.0
110,Major Dundee,1965,USA,152,English,Approved,14873.0,3800000.0,6.80000019,5294,0,3.0
111,Pierrot le Fou,1965,France,110,French,Not Rated,0.0,300000.0,7.69999981,19386,1,3.0
112,The Greatest Story Ever Told,1965,USA,225,English,G,8000000.0,20000000.0,6.5999999,6484,0,3.0
113,The Party's Over,1965,UK,94,English,,0.0,0.0,7.30000019,340,1,3.0
114,The Sound of Music,1965,USA,174,English,G,163214286.0,8200000.0,8.0,148172,1,3.0
115,Thunderball,1965,UK,130,English,Approved,63600000.0,9000000.0,7.0,82073,1,3.0
116,A Funny Thing Happened on the Way to the Forum,1966,USA,99,English,Approved,0.0,2000000.0,7.0,6804,1,3.0
117,A Man for All Seasons,1966,UK,120,English,Approved,0.0,2000000.0,7.9000001,23713,1,3.0
118,Batman: The Movie,1966,USA,105,English,Approved,0.0,1377800.0,6.5,22975,0,3.0
119,Harper,1966,USA,121,English,Not Rated,0.0,3500000.0,7.0,5941,1,3.0
120,"The Good, the Bad and the Ugly",1966,Italy,142,Italian,Approved,6100000.0,1200000.0,8.89999962,503509,1,3.0
121,Torn Curtain,1966,USA,128,English,Approved,0.0,6000000.0,6.69999981,18656,0,3.0
122,In Cold Blood,1967,USA,134,English,Approved,0.0,3500000.0,8.0,19026,1,3.0
123,Point Blank,1967,USA,92,English,Approved,0.0,3000000.0,7.4000001,13640,1,3.0
124,The Torture Chamber of Dr. Sadism,1967,West Germany,80,German,M,0.0,0.0,6.0,952,0,3.0
125,You Only Live Twice,1967,UK,117,English,Approved,43100000.0,9500000.0,6.9000001,75280,0,3.0
126,2001: A Space Odyssey,1968,UK,161,English,G,56715371.0,12000000.0,8.30000019,427357,1,3.0
127,Barbarella,1968,France,98,English,PG,0.0,9000000.0,5.9000001,24436,0,3.0
128,Charly,1968,USA,103,English,PG,0.0,0.0,7.0999999,4998,1,3.0
129,Hang 'Em High,1968,USA,114,English,M,0.0,1800000.0,7.0,25472,1,3.0
130,Night of the Living Dead,1968,USA,96,English,Unrated,0.0,114000.0,8.0,87978,1,3.0
131,Night of the Living Dead,1968,USA,96,English,Unrated,0.0,114000.0,8.0,87978,1,3.0
132,Oliver!,1968,UK,153,English,G,16800000.0,10000000.0,7.5,25303,1,3.0
133,Once Upon a Time in the West,1968,Italy,145,English,PG-13,0.0,5000000.0,8.60000038,216005,1,3.0
134,Rosemary's Baby,1968,USA,136,English,R,0.0,2300000.0,8.0,140527,1,3.0
135,Shalako,1968,UK,113,English,PG,0.0,1455000.0,5.5,1978,0,3.0
136,"Yours, Mine and Ours",1968,USA,111,English,Unrated,0.0,2500000.0,7.19999981,5888,1,3.0
137,Butch Cassidy and the Sundance Kid,1969,USA,110,English,M,102308900.0,6000000.0,8.10000038,152089,1,3.0
138,Machine Gun McCain,1969,Italy,96,English,GP,0.0,0.0,6.19999981,618,0,3.0
139,Midnight Cowboy,1969,USA,113,English,X,0.0,3600000.0,7.9000001,76616,1,3.0
140,Mississippi Mermaid,1969,France,123,French,R,26893.0,1600000.0,7.19999981,4391,1,3.0
141,On Her Majesty's Secret Service,1969,UK,142,English,M,22800000.0,7000000.0,6.80000019,59941,0,3.0
142,Paint Your Wagon,1969,USA,158,English,PG-13,0.0,20000000.0,6.69999981,9352,0,3.0
143,Sweet Charity,1969,USA,154,English,G,0.0,20000000.0,7.0,3454,1,3.0
144,The Stewardesses,1969,USA,93,English,X,0.0,100000.0,4.0,161,0,3.0
145,The Wild Bunch,1969,USA,144,English,R,0.0,6244087.0,8.0,63192,1,3.0
146,Topaz,1969,USA,127,English,M,0.0,4000000.0,6.30000019,12677,0,3.0
147,Beneath the Planet of the Apes,1970,USA,95,English,G,0.0,3000000.0,6.0999999,32378,0,3.0
148,Beyond the Valley of the Dolls,1970,USA,109,English,X,9000000.0,900000.0,6.19999981,7584,0,3.0
149,Catch-22,1970,USA,122,English,R,0.0,18000000.0,7.19999981,17277,1,3.0
150,Cotton Comes to Harlem,1970,USA,97,English,R,0.0,1200000.0,6.5999999,1172,0,3.0
151,Darling Lili,1970,USA,143,English,G,5000000.0,25000000.0,6.19999981,1547,0,3.0
152,Patton,1970,USA,172,English,GP,0.0,12000000.0,8.0,76398,1,3.0
153,The Ballad of Cable Hogue,1970,USA,121,English,R,0.0,3716946.0,7.30000019,6350,1,3.0
154,The Conformist,1970,Italy,106,Italian,R,0.0,750000.0,8.10000038,17813,1,3.0
155,The Molly Maguires,1970,USA,124,English,PG,0.0,11000000.0,6.9000001,2603,0,3.0
156,Tora! Tora! Tora!,1970,Japan,160,English,G,14500000.0,25000000.0,7.5,25019,1,3.0
157,Waterloo,1970,Italy,134,English,G,0.0,25000000.0,7.30000019,5911,1,3.0
158,Woodstock,1970,USA,215,English,R,13300000.0,600000.0,8.10000038,12631,1,3.0
159,Bananas,1971,USA,82,English,GP,0.0,2000000.0,7.0999999,27646,1,3.0
160,Diamonds Are Forever,1971,UK,120,English,GP,43800000.0,7200000.0,6.69999981,74249,0,3.0
161,Escape from the Planet of the Apes,1971,USA,98,English,G,0.0,2500000.0,6.30000019,23546,0,3.0
162,Fiddler on the Roof,1971,USA,181,English,G,50000000.0,9000000.0,8.0,29839,1,3.0
163,Pink Narcissus,1971,USA,65,English,Not Rated,8231.0,27000.0,6.69999981,803,0,2.0
164,Sweet Sweetback's Baadasssss Song,1971,USA,97,English,R,15180000.0,500000.0,5.5,3340,0,3.0
165,The Andromeda Strain,1971,USA,115,English,G,0.0,6500000.0,7.19999981,25857,1,3.0
166,The French Connection,1971,USA,104,English,R,0.0,1800000.0,7.80000019,82476,1,3.0
167,The French Connection,1971,USA,104,English,R,0.0,1800000.0,7.80000019,82476,1,3.0
168,The Night Visitor,1971,USA,106,English,GP,0.0,0.0,6.80000019,544,0,3.0
169,Willy Wonka & the Chocolate Factory,1971,USA,89,English,G,0.0,3000000.0,7.80000019,128334,1,3.0
170,1776,1972,USA,168,English,PG,0.0,4000000.0,7.5999999,6303,1,3.0
171,Conquest of the Planet of the Apes,1972,USA,88,English,PG,0.0,1700000.0,6.0999999,23268,0,3.0
172,Cries & Whispers,1972,Sweden,91,Swedish,R,0.0,400000.0,8.19999981,19964,1,3.0
173,Everything You Always Wanted to Know About Sex * But Were Afraid to Ask,1972,USA,88,English,R,0.0,2000000.0,6.80000019,31077,0,3.0
174,Frenzy,1972,UK,116,English,R,0.0,2000000.0,7.5,30982,1,3.0
175,Pink Flamingos,1972,USA,108,English,NC-17,180483.0,10000.0,6.0999999,16792,0,3.0
176,Silent Running,1972,USA,89,English,GP,0.0,1000000.0,6.69999981,20678,0,3.0
177,Solaris,1972,Soviet Union,115,Russian,PG,0.0,1000000.0,8.10000038,54057,1,3.0
178,The Godfather,1972,USA,175,English,R,134821952.0,6000000.0,9.19999981,1155770,1,3.0
179,American Graffiti,1973,USA,112,English,PG,115000000.0,777000.0,7.5,63839,1,3.0
180,Battle for the Planet of the Apes,1973,USA,96,English,G,0.0,1800000.0,5.5,22764,0,3.0
181,High Plains Drifter,1973,USA,105,English,R,0.0,5500000.0,7.5999999,36381,1,3.0
182,Live and Let Die,1973,UK,121,English,PG,35400000.0,7000000.0,6.80000019,74957,0,3.0
183,Mean Streets,1973,USA,112,English,R,32645.0,500000.0,7.4000001,67797,1,3.0
184,Pat Garrett & Billy the Kid,1973,USA,106,English,R,0.0,4638783.0,7.4000001,13467,1,3.0
185,Sleeper,1973,USA,89,English,PG,0.0,2000000.0,7.30000019,33335,1,3.0
186,The Exorcist,1973,USA,132,English,R,204565000.0,8000000.0,8.0,284252,1,3.0
187,The Sting,1973,USA,129,English,PG,159600000.0,5500000.0,8.30000019,175607,1,3.0
188,Benji,1974,USA,86,English,G,39552600.0,500000.0,6.0999999,3411,0,3.0
189,Blazing Saddles,1974,USA,93,English,R,119500000.0,2600000.0,7.80000019,95294,1,3.0
190,The Conversation,1974,USA,113,English,PG,0.0,1600000.0,7.9000001,74651,1,3.0
191,The Front Page,1974,USA,105,English,PG,0.0,4000000.0,7.30000019,9007,1,3.0
192,The Godfather: Part II,1974,USA,220,English,R,57300000.0,13000000.0,9.0,790926,1,3.0
193,The Man with the Golden Gun,1974,UK,125,English,PG,21000000.0,13000000.0,6.80000019,73950,0,3.0
194,The Texas Chain Saw Massacre,1974,USA,88,English,R,30859000.0,83532.0,7.5,96410,1,3.0
195,The Texas Chain Saw Massacre,1974,USA,88,English,R,30859000.0,83532.0,7.5,96411,1,3.0
196,Young Frankenstein,1974,USA,106,English,PG,86300000.0,2800000.0,8.0,112671,1,3.0
197,Barry Lyndon,1975,UK,184,English,PG,0.0,11000000.0,8.10000038,101627,1,3.0
198,Death Race 2000,1975,USA,80,English,R,0.0,300000.0,6.19999981,19875,0,3.0
199,Jaws,1975,USA,130,English,PG,260000000.0,8000000.0,8.0,412454,1,3.0
200,Monty Python and the Holy Grail,1975,UK,91,English,PG,1229197.0,229575.0,8.30000019,382240,1,3.0
201,One Flew Over the Cuckoo's Nest,1975,USA,133,English,R,112000000.0,4400000.0,8.69999981,680041,1,3.0
202,The Return of the Pink Panther,1975,UK,113,English,G,0.0,5000000.0,7.0999999,19596,1,3.0
203,Family Plot,1976,USA,120,English,PG,0.0,4490375.0,6.80000019,15293,0,3.0
204,Logan's Run,1976,USA,119,English,PG,25000000.0,9000000.0,6.80000019,39847,0,3.0
205,Network,1976,USA,121,English,R,0.0,3800000.0,8.10000038,103493,1,3.0
206,Robin and Marian,1976,USA,106,English,PG,0.0,5000000.0,6.5999999,8930,0,3.0
207,Rocky,1976,USA,145,English,PG,117235247.0,960000.0,8.10000038,375240,1,3.0
208,Silent Movie,1976,USA,87,,PG,0.0,4400000.0,6.69999981,12666,0,3.0
209,Taxi Driver,1976,USA,110,English,R,0.0,1300000.0,8.30000019,507063,1,3.0
210,The Bad News Bears,1976,USA,102,English,PG,0.0,0.0,7.30000019,16323,1,3.0
211,The Omen,1976,UK,107,English,R,0.0,2800000.0,7.5999999,80958,1,3.0
212,The Omen,1976,UK,107,English,R,0.0,2800000.0,7.5999999,80961,1,3.0
213,A Bridge Too Far,1977,USA,175,English,PG,50800000.0,26000000.0,7.4000001,40277,1,3.0
214,Annie Hall,1977,USA,93,English,PG,39200000.0,4000000.0,8.10000038,192940,1,3.0
215,Capricorn One,1977,USA,130,English,PG,0.0,5000000.0,6.80000019,15988,0,3.0
216,Close Encounters of the Third Kind,1977,USA,135,English,PG,128300000.0,19400870.0,7.69999981,139288,1,3.0
217,Damnation Alley,1977,USA,91,English,PG,0.0,17000000.0,5.19999981,3701,0,3.0
218,Eraserhead,1977,USA,89,English,Unrated,0.0,20000.0,7.4000001,69831,1,3.0
219,Exorcist II: The Heretic,1977,USA,118,English,R,0.0,14000000.0,3.70000005,16294,0,3.0
220,High Anxiety,1977,USA,94,English,PG,0.0,3400000.0,6.69999981,15115,0,3.0
221,Julia,1977,USA,117,English,PG,0.0,7840000.0,7.4000001,6454,1,3.0
222,Kingdom of the Spiders,1977,USA,97,English,PG,17000000.0,500000.0,5.9000001,3274,0,3.0
223,March or Die,1977,UK,107,English,PG,1000000.0,9000000.0,6.30000019,2215,0,3.0
224,"New York, New York",1977,USA,136,English,PG,0.0,14000000.0,6.69999981,13548,0,3.0
225,Sorcerer,1977,USA,92,English,PG,0.0,12000000.0,7.69999981,9513,1,3.0
226,Star Wars: Episode IV - A New Hope,1977,USA,125,English,PG,460935665.0,11000000.0,8.69999981,911097,1,3.0
227,The Kentucky Fried Movie,1977,USA,83,English,R,0.0,650000.0,6.5,13915,0,3.0
228,The Spy Who Loved Me,1977,UK,123,English,PG,46800000.0,14000000.0,7.0999999,76477,1,3.0
229,Alien Zone,1978,USA,79,English,PG,0.0,350000.0,4.0999999,440,0,3.0
230,Animal House,1978,USA,109,English,R,141600000.0,3000000.0,7.5999999,90177,1,3.0
231,Caravans,1978,Iran,127,English,PG,1000000.0,14000000.0,6.5,524,0,3.0
232,Days of Heaven,1978,USA,94,English,PG,0.0,3000000.0,8.0,37594,1,3.0
233,F.I.S.T.,1978,USA,145,English,PG,0.0,11000000.0,6.4000001,5561,0,3.0
234,Force 10 from Navarone,1978,UK,126,English,PG,0.0,5000000.0,6.30000019,13587,0,3.0
235,Grease,1978,USA,110,English,PG-13,181360000.0,6000000.0,7.19999981,170027,1,3.0
236,Halloween,1978,USA,101,English,R,47000000.0,300000.0,7.9000001,157857,1,3.0
237,Halloween,1978,USA,101,English,R,47000000.0,300000.0,7.9000001,157857,1,3.0
238,Halloween,1978,USA,101,English,R,47000000.0,300000.0,7.9000001,157863,1,3.0
239,Jaws 2,1978,USA,131,English,PG,102922376.0,20000000.0,5.69999981,51314,0,3.0
240,Superman,1978,USA,188,English,PG,134218018.0,55000000.0,7.30000019,126357,1,3.0
241,The Boys from Brazil,1978,UK,125,English,R,0.0,12000000.0,7.0,20660,1,3.0
242,The Deer Hunter,1978,UK,183,English,R,0.0,15000000.0,8.19999981,232577,1,3.0
243,The Last Waltz,1978,USA,117,English,PG,321952.0,0.0,8.19999981,12611,1,3.0
244,The Wiz,1978,USA,118,English,G,13000000.0,24000000.0,5.19999981,10895,0,3.0
245,1941,1979,USA,142,English,PG,0.0,35000000.0,5.9000001,25193,0,3.0
246,Alien,1979,UK,116,English,R,78900000.0,11000000.0,8.5,563827,1,3.0
247,All That Jazz,1979,USA,123,English,R,0.0,0.0,7.80000019,19228,1,3.0
248,Apocalypse Now,1979,USA,289,English,R,78800000.0,31500000.0,8.5,450676,1,3.0
249,Escape from Alcatraz,1979,USA,112,English,PG,36500000.0,8000000.0,7.5999999,87090,1,3.0
250,Mad Max,1979,Australia,93,English,R,0.0,200000.0,7.0,152232,1,3.0
251,Meteor,1979,USA,108,English,PG,0.0,16000000.0,4.9000001,5237,0,3.0
252,Moonraker,1979,UK,126,English,PG,62700000.0,34000000.0,6.30000019,69534,0,3.0
253,Penitentiary,1979,USA,99,English,R,0.0,100000.0,5.80000019,509,0,3.0
254,Prophecy,1979,USA,102,English,PG,0.0,12000000.0,5.4000001,3000,0,3.0
255,Star Trek: The Motion Picture,1979,USA,143,English,PG,82300000.0,35000000.0,6.4000001,63330,0,3.0
256,The Black Hole,1979,USA,98,English,PG,0.0,20000000.0,5.9000001,18481,0,3.0
257,The Black Stallion,1979,USA,118,English,G,0.0,2700000.0,7.4000001,8856,1,3.0
258,The Great Train Robbery,1979,UK,110,English,PG,0.0,6000000.0,7.0,11623,1,3.0
259,The Muppet Movie,1979,UK,95,English,G,76657000.0,0.0,7.69999981,25498,1,3.0
260,The Rose,1979,USA,125,English,R,29200000.0,8500000.0,6.9000001,6142,0,3.0
261,Airplane!,1980,USA,88,English,PG,83400000.0,3500000.0,7.80000019,160281,1,3.0
262,Caddyshack,1980,USA,98,English,R,39800000.0,6000000.0,7.4000001,81599,1,3.0
263,Can't Stop the Music,1980,USA,124,English,PG,2000000.0,20000000.0,4.5,2998,0,3.0
264,Coal Miner's Daughter,1980,USA,124,English,PG,79900000.0,0.0,7.5,12974,1,3.0
265,Dressed to Kill,1980,USA,104,English,X,31899000.0,6500000.0,7.0999999,23986,1,3.0
266,Flash Gordon,1980,UK,111,English,PG,0.0,20000000.0,6.4000001,38017,0,3.0
267,Galaxina,1980,USA,95,English,R,0.0,0.0,3.4000001,1955,0,3.0
268,Heaven's Gate,1980,USA,325,English,R,1500000.0,44000000.0,6.80000019,9830,0,3.0
269,Lion of the Desert,1980,Libya,156,English,PG,0.0,35000000.0,8.39999962,9852,1,3.0
270,Ordinary People,1980,USA,124,English,R,54800000.0,6000000.0,7.80000019,35130,1,3.0
271,Out of the Blue,1980,Canada,94,English,R,0.0,2200000.0,7.19999981,1599,1,3.0
272,Private Benjamin,1980,USA,109,English,R,69800000.0,10000000.0,6.0999999,18140,0,3.0
273,Raging Bull,1980,USA,121,English,R,45250.0,18000000.0,8.30000019,235133,1,3.0
274,Raise the Titanic,1980,UK,119,English,PG,7000000.0,36000000.0,4.69999981,2933,0,3.0
275,Somewhere in Time,1980,USA,103,English,PG,0.0,5100000.0,7.30000019,21049,1,3.0
276,Star Wars: Episode V - The Empire Strikes Back,1980,USA,127,English,PG,290158751.0,18000000.0,8.80000019,837759,1,3.0
277,Superman II,1980,USA,116,English,PG,108200000.0,54000000.0,6.80000019,76331,0,3.0
278,The Blue Lagoon,1980,USA,104,English,R,0.0,4500000.0,5.69999981,50125,0,3.0
279,The Blues Brothers,1980,USA,148,English,R,54200000.0,27000000.0,7.9000001,142448,1,3.0
280,The Elephant Man,1980,USA,124,English,PG,0.0,5000000.0,8.19999981,161972,1,3.0
281,The Fog,1980,USA,89,English,R,21378000.0,1000000.0,6.80000019,46492,0,3.0
